timeStamp     linear.x           linear.y                 linear.z                      angular.x                            angular.y                                  angular.z
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
 10.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
 20.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
 30.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
 40.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
 50.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
 60.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
 70.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
 80.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
